Activity,Satisfaction Percentage
Q9t 3,93.24324324324324
Q9t 4,93.24324324324324
Q9t 5,92.56756756756756
Q9t 2,91.8918918918919
Q9t 7,91.8918918918919
Q9t 1,87.16216216216216
Q9t 8,83.78378378378379
Q9t 6,83.1081081081081
Q9t 9,74.32432432432432
Q9t 10,70.27027027027027
Q9t 11,68.91891891891892
